2, 2
2, 2
1, 1
3, 3
4, 4
1, 1
2, 2
2, 2
3, 4
1, 1
5, 5
4, 4
4, 4
3, 3
3, 3
2, 2
4, 6
5, 5
2, 6
4, 4
1, 3
3, 5
4, 10
1, 1
2, 2
2, 4
3, 6
3, 3
5, 7
4, 8
4, 4
3, 5
3, 3
2, 2
4, 6
5, 5
2, 2
4, 4
3, 3
5, 8
6, 8
3, 5
4, 4
4, 5
2, 2
1, 1
3, 3
4, 4
2, 2
3, 3
1, 1
2, 2
4, 6
3, 5
1, 1
1, 1
3, 3
4, 4
5, 9
2, 2
3, 3
1, 1
2, 3
2, 2
4, 4
3, 5
3, 4
2, 2
2, 2
1, 1
3, 7
4, 6
3, 5
3, 3
5, 5
4, 4
1, 1
2, 2
1, 1
5, 5
6, 6
4, 4
8, 8
7, 9
7, 7
6, 10
6, 6
5, 5
7, 7
8, 9
4, 6
4, 4
6, 6
5, 5
1, 1
3, 3
2, 2
6, 6
7, 7
5, 9
9, 9
8, 10
8, 10
7, 11
7, 7
6, 8
8, 12
9, 10
1, 1
1, 1
3, 3
2, 2
2, 2
3, 3
1, 1
3, 7
4, 4
2, 2
6, 6
5, 5
5, 5
4, 4
4, 4
3, 3
5, 7
6, 6
2, 4
2, 4
4, 6
3, 7
1, 1
2, 2
1, 1
4, 4
5, 5
3, 3
7, 7
6, 8
6, 6
5, 5
5, 5
4, 4
6, 10
7, 8
2, 6
2, 8
4, 6
1, 1
5, 5
6, 6
3, 3
4, 4
3, 3
3, 5
5, 5
4, 6
4, 6
3, 3
3, 5
2, 2
4, 4
5, 5
3, 5
3, 6
2, 3
2, 3
6, 6
7, 7
4, 5
5, 6
3, 6
3, 4
3, 3
3, 4
2, 7
2, 7
1, 8
1, 2
3, 4
3, 8
1, 5
3, 3
1, 1
2, 2
4, 6
5, 9
2, 7
3, 7
3, 3
3, 4
4, 8
5, 5
3, 7
4, 6
2, 4
3, 3
5, 5
4, 6
5, 5
5, 5
3, 9
4, 4
8, 8
9, 10
6, 6
7, 7
5, 6
3, 3
4, 4
1, 5
1, 1
2, 2
2, 2
3, 3
3, 3
2, 4
4, 6
4, 8
4, 4
3, 5
7, 9
8, 12
5, 7
6, 6
4, 8
3, 3
5, 5
1, 1
2, 2
1, 3
3, 3
2, 4
2, 4
3, 3
4, 6
4, 4
2, 6
3, 5
7, 8
8, 8
5, 5
6, 6
4, 5
2, 3
3, 7
1, 1
2, 2
1, 1
1, 1
2, 2
2, 4
1, 3
3, 5
3, 7
3, 3
2, 4
6, 10
7, 7
4, 6
5, 5
3, 5
2, 3
4, 6
2, 4
1, 5
1, 3
2, 8
1, 3
1, 5
2, 2
3, 3
3, 3
1, 1
2, 2
6, 6
7, 7
4, 4
5, 5
3, 7
1, 2
2, 2
2, 2
3, 3
1, 1
2, 2
1, 1
3, 3
2, 6
2, 4
2, 6
2, 2
1, 5
5, 7
6, 8
3, 5
4, 4
2, 6
1, 6
3, 5
3, 3
2, 4
2, 6
1, 1
1, 1
2, 8
3, 5
4, 6
4, 6
4, 4
3, 7
7, 11
8, 10
5, 5
6, 6
4, 6
3, 4
5, 5
3, 3
2, 4
2, 2
1, 3
3, 5
2, 4
1, 5
5, 5
5, 7
3, 7
4, 4
8, 9
9, 9
6, 6
7, 7
5, 5
3, 4
4, 6
2, 4
3, 3
1, 3
2, 2
2, 4
3, 4
1, 5
