5, 5
2, 2
1, 1
6, 12
4, 4
5, 14
7, 7
6, 10
3, 3
4, 8
3, 9
2, 2
1, 1
2, 2
5, 5
4, 4
5, 5
6, 6
5, 12
5, 16
3, 10
4, 17
3, 3
1, 1
2, 2
5, 5
5, 6
8, 8
3, 3
2, 9
7, 11
6, 10
7, 9
4, 7
7, 12
6, 11
5, 10
4, 4
2, 2
3, 3
1, 1
4, 7
5, 5
2, 12
3, 3
5, 5
4, 4
5, 5
2, 2
1, 1
4, 4
3, 3
4, 4
3, 3
6, 6
5, 5
4, 8
3, 9
1, 1
4, 4
1, 1
5, 5
6, 13
3, 3
4, 4
6, 6
5, 5
4, 4
3, 3
2, 2
3, 3
2, 2
3, 3
4, 4
5, 5
6, 6
5, 7
4, 8
6, 13
3, 8
4, 7
5, 8
1, 1
2, 2
1, 8
2, 2
3, 3
9, 9
4, 5
3, 3
8, 12
7, 7
8, 8
4, 4
8, 9
7, 7
6, 7
5, 6
7, 12
4, 4
5, 5
6, 7
1, 1
3, 3
2, 2
1, 1
2, 7
9, 11
4, 4
4, 4
9, 9
8, 9
9, 9
3, 6
8, 8
7, 8
6, 7
5, 5
4, 10
1, 1
2, 2
3, 11
2, 2
3, 3
1, 1
4, 4
4, 5
7, 7
2, 2
1, 1
6, 10
5, 9
6, 6
3, 6
6, 6
5, 5
4, 4
3, 3
5, 5
2, 2
3, 3
4, 4
1, 1
2, 2
1, 1
3, 3
4, 4
8, 8
3, 6
2, 2
7, 12
6, 6
7, 7
4, 5
7, 10
6, 9
5, 8
4, 7
7, 11
5, 5
5, 6
6, 7
2, 2
1, 1
4, 4
3, 3
1, 8
8, 8
3, 3
4, 5
9, 11
8, 8
9, 10
2, 7
7, 10
6, 6
5, 5
4, 7
6, 10
5, 6
4, 12
5, 8
3, 3
2, 2
4, 5
4, 4
1, 1
7, 7
2, 2
3, 3
8, 15
7, 9
8, 8
1, 1
6, 6
5, 5
4, 9
3, 3
3, 3
8, 8
5, 5
4, 4
9, 10
9, 9
7, 7
8, 13
8, 8
7, 7
5, 7
6, 13
3, 3
2, 2
1, 1
6, 13
1, 1
2, 2
3, 3
4, 4
4, 8
3, 3
2, 2
3, 9
4, 4
4, 4
2, 2
3, 6
3, 3
2, 2
5, 5
1, 8
6, 8
5, 5
6, 6
1, 1
4, 4
3, 3
2, 2
1, 1
3, 9
2, 2
1, 11
2, 2
3, 6
4, 5
1, 1
2, 7
4, 4
3, 6
6, 13
1, 8
5, 16
4, 4
5, 7
2, 2
5, 12
4, 4
3, 3
2, 2
2, 2
7, 7
4, 4
3, 3
8, 11
6, 6
7, 12
9, 10
8, 10
3, 3
6, 8
5, 5
1, 1
2, 2
7, 12
4, 4
5, 9
6, 6
7, 7
1, 1
6, 15
3, 3
2, 2
7, 11
8, 8
5, 9
6, 6
8, 10
7, 10
2, 2
5, 7
4, 8
1, 1
1, 1
6, 8
3, 3
4, 4
5, 7
6, 6
2, 2
7, 7
4, 4
3, 3
8, 8
9, 9
6, 6
7, 7
9, 12
8, 8
1, 1
6, 6
5, 7
2, 2
1, 1
7, 7
2, 2
3, 3
4, 8
5, 5
5, 9
4, 4
3, 11
4, 4
4, 4
3, 3
3, 6
4, 5
2, 2
1, 1
6, 13
1, 1
2, 2
7, 16
6, 6
7, 12
5, 12
4, 4
3, 3
2, 9
4, 4
7, 7
6, 6
5, 5
8, 8
8, 9
6, 6
7, 7
7, 10
6, 6
1, 1
4, 4
5, 5
4, 4
3, 3
2, 2
5, 5
1, 1
2, 2
3, 3
5, 7
6, 6
5, 7
6, 6
7, 8
7, 7
5, 10
6, 9
6, 6
5, 5
2, 2
3, 3
4, 4
5, 9
4, 4
3, 3
4, 4
1, 1
1, 1
2, 2
6, 6
5, 10
4, 8
5, 7
6, 7
6, 6
4, 4
5, 8
5, 5
4, 4
3, 3
2, 2
3, 3
6, 8
5, 5
4, 4
3, 3
2, 2
1, 1
1, 1
5, 7
4, 4
3, 9
4, 8
5, 5
5, 5
3, 3
4, 7
4, 4
3, 3
4, 4
1, 1
2, 9
7, 7
6, 6
5, 5
2, 2
3, 3
2, 2
1, 1
