2, 3
2, 2
1, 1
3, 3
4, 4
8, 9
7, 10
5, 5
6, 7
9, 9
9, 10
8, 8
7, 7
4, 5
3, 3
7, 8
8, 8
6, 6
5, 6
7, 12
6, 6
5, 5
6, 11
2, 3
1, 2
1, 2
1, 1
2, 2
7, 7
6, 8
3, 11
4, 4
7, 7
7, 7
6, 8
5, 5
3, 4
2, 3
6, 7
7, 7
5, 6
4, 4
6, 6
5, 6
4, 4
5, 9
2, 2
1, 1
1, 2
2, 3
3, 4
6, 8
5, 9
4, 5
5, 9
8, 9
8, 9
7, 8
6, 7
2, 2
1, 1
5, 5
6, 6
4, 4
3, 3
5, 11
4, 4
3, 3
4, 10
1, 1
1, 1
1, 1
2, 2
3, 3
7, 8
6, 7
4, 4
5, 6
8, 9
8, 8
7, 8
6, 6
3, 4
2, 2
6, 6
7, 8
5, 5
4, 5
6, 11
5, 6
4, 4
5, 5
3, 4
1, 1
2, 2
2, 2
1, 1
6, 8
7, 7
2, 2
3, 3
6, 6
6, 10
5, 9
4, 10
4, 4
3, 4
7, 8
8, 9
6, 7
5, 5
7, 7
6, 7
5, 6
6, 8
4, 5
2, 2
3, 4
3, 3
1, 1
5, 9
6, 6
1, 1
2, 2
5, 11
5, 5
4, 4
3, 3
5, 6
4, 4
8, 8
9, 10
7, 8
6, 7
8, 8
7, 7
6, 7
7, 7
8, 9
7, 7
6, 8
7, 8
6, 6
5, 5
1, 1
4, 4
3, 3
2, 2
2, 2
1, 1
2, 2
4, 4
5, 5
7, 7
8, 14
6, 12
5, 11
3, 3
4, 4
3, 3
2, 2
7, 7
6, 6
5, 9
6, 9
7, 7
6, 6
1, 1
5, 5
4, 4
3, 3
3, 3
2, 2
3, 3
3, 11
4, 4
6, 6
7, 15
5, 5
4, 4
2, 2
3, 3
2, 2
1, 1
5, 6
3, 3
4, 4
4, 11
2, 2
1, 1
4, 4
5, 5
1, 1
4, 4
4, 4
3, 3
2, 2
6, 8
5, 6
9, 11
10, 11
8, 8
7, 8
7, 7
8, 8
7, 8
6, 6
6, 6
4, 4
5, 5
5, 5
3, 3
2, 2
3, 3
4, 4
1, 1
3, 3
3, 3
2, 2
1, 1
7, 8
6, 7
10, 10
11, 12
9, 9
8, 9
6, 6
7, 9
6, 8
5, 5
9, 10
7, 9
8, 9
8, 9
6, 10
5, 5
2, 2
3, 3
4, 4
3, 3
2, 2
1, 1
2, 2
6, 6
7, 9
9, 14
10, 10
8, 8
7, 7
5, 5
6, 6
5, 5
4, 4
9, 10
7, 9
8, 9
8, 8
6, 10
5, 11
2, 2
3, 3
4, 4
3, 3
2, 2
1, 1
2, 2
6, 10
7, 10
9, 13
10, 15
8, 12
7, 11
6, 6
5, 12
4, 4
8, 9
6, 6
7, 7
7, 8
5, 5
4, 10
1, 1
2, 2
3, 3
2, 2
1, 1
1, 1
1, 1
5, 5
6, 8
8, 8
9, 9
7, 7
6, 6
4, 4
5, 11
4, 4
3, 3
7, 7
5, 5
6, 7
6, 9
4, 4
3, 3
2, 2
3, 3
2, 2
1, 1
2, 2
2, 2
1, 1
6, 6
7, 7
9, 9
10, 12
8, 10
7, 7
5, 5
6, 10
5, 9
4, 4
4, 4
3, 4
2, 2
3, 4
4, 4
5, 6
4, 10
3, 11
6, 6
7, 7
6, 6
6, 11
5, 10
6, 8
1, 1
3, 3
4, 4
2, 2
1, 1
3, 3
2, 2
1, 1
2, 2
3, 4
2, 2
1, 1
2, 2
3, 3
4, 4
5, 9
4, 10
5, 6
6, 7
7, 10
7, 9
6, 8
7, 8
1, 1
4, 4
5, 5
3, 3
2, 2
4, 4
3, 3
2, 2
3, 11
7, 7
6, 6
5, 5
6, 7
7, 7
8, 9
7, 7
6, 6
9, 9
10, 11
9, 9
9, 9
8, 8
9, 9
3, 3
4, 4
1, 1
1, 1
2, 2
6, 16
5, 5
4, 4
5, 5
8, 9
7, 7
6, 6
7, 7
8, 9
9, 9
8, 14
7, 15
10, 10
11, 11
10, 14
10, 10
9, 9
10, 10
4, 4
5, 5
1, 1
2, 2
3, 3
7, 7
6, 6
5, 5
6, 6
6, 6
5, 6
4, 4
5, 6
6, 6
7, 7
6, 12
5, 13
8, 10
9, 9
8, 12
8, 8
7, 11
8, 10
2, 2
3, 3
1, 1
2, 2
1, 1
5, 5
4, 4
3, 3
4, 14
5, 5
4, 4
3, 3
4, 4
5, 6
6, 6
5, 5
4, 4
7, 8
8, 8
7, 11
7, 7
6, 6
7, 9
1, 1
2, 2
2, 2
3, 3
1, 1
4, 14
3, 3
2, 2
3, 3
7, 8
6, 10
5, 11
6, 7
7, 9
8, 8
3, 3
2, 2
7, 7
6, 6
5, 5
5, 5
4, 4
5, 5
3, 3
4, 12
6, 16
7, 17
5, 15
4, 14
3, 3
2, 2
1, 1
6, 7
5, 6
4, 4
5, 6
6, 7
7, 8
4, 4
3, 3
8, 8
7, 7
6, 6
6, 6
5, 5
6, 10
2, 2
3, 3
5, 5
6, 6
4, 4
3, 3
3, 3
1, 1
2, 2
5, 5
4, 5
3, 3
4, 5
5, 6
6, 6
3, 11
2, 2
7, 7
6, 9
5, 5
5, 11
4, 10
5, 5
1, 1
2, 2
4, 4
5, 5
3, 3
2, 2
1, 1
1, 1
6, 11
5, 9
4, 10
5, 5
6, 6
7, 7
2, 2
1, 1
6, 6
5, 5
4, 4
4, 4
3, 3
4, 4
2, 2
3, 3
5, 5
6, 6
4, 4
3, 3
1, 1
2, 2
1, 1
